country,year,value,region,indicator
QAT,2011,0.28,Eastern Mediterranean,MDG_0000000017
PRT,2007,2.8,Europe,MDG_0000000017
YEM,2001,18,Eastern Mediterranean,MDG_0000000017
LTU,2015,6.5,Europe,MDG_0000000017
URY,2019,2.5,Americas,MDG_0000000017
SWZ,2008,43,Africa,MDG_0000000017
KAZ,2001,25,Europe,MDG_0000000017
JAM,2009,0.48,Americas,MDG_0000000017
MLT,2010,0.81,Europe,MDG_0000000017
BTN,2019,18,South-East Asia,MDG_0000000017
FRA,2013,0.87,Europe,MDG_0000000017
SWE,2003,0.65,Europe,MDG_0000000017
SWZ,2020,24,Africa,MDG_0000000017
FRA,2010,1,Europe,MDG_0000000017
PRI,2020,0.17,Americas,MDG_0000000017
COD,2017,58,Africa,MDG_0000000017
BHR,2009,0.65,Eastern Mediterranean,MDG_0000000017
DEU,2009,0.43,Europe,MDG_0000000017
AGO,2008,64,Africa,MDG_0000000017
WSM,2021,0.57,Western Pacific,MDG_0000000017
DZA,2017,7.6,Africa,MDG_0000000017
EGY,2017,0.43,Eastern Mediterranean,MDG_0000000017
HTI,2014,10,Americas,MDG_0000000017
LBN,2015,0.94,Eastern Mediterranean,MDG_0000000017
MLT,2016,0.72,Europe,MDG_0000000017
TCD,2014,22,Africa,MDG_0000000017
BLZ,2018,1.8,Americas,MDG_0000000017
HUN,2021,0.58,Europe,MDG_0000000017
PLW,2009,9.8,Western Pacific,MDG_0000000017
SAU,2023,0.51,Eastern Mediterranean,MDG_0000000017
CHN,2022,1.9,Western Pacific,MDG_0000000017
BRN,2019,4.1,Western Pacific,MDG_0000000017
EMR,2018,11,NA,MDG_0000000017
RWA,2022,3,Africa,MDG_0000000017
PER,2002,12,Americas,MDG_0000000017
KIR,2005,42,Western Pacific,MDG_0000000017
WB_LMI,2006,46,NA,MDG_0000000017
GNQ,2009,26,Africa,MDG_0000000017
BGR,2021,0.86,Europe,MDG_0000000017
USA,2005,0.25,Americas,MDG_0000000017
QAT,2022,0.28,Eastern Mediterranean,MDG_0000000017
MOZ,2018,19,Africa,MDG_0000000017
LKA,2011,4.3,South-East Asia,MDG_0000000017
ALB,2021,0.26,Europe,MDG_0000000017
CYP,2020,0.19,Europe,MDG_0000000017
HTI,2006,12,Americas,MDG_0000000017
PRI,2019,0.16,Americas,MDG_0000000017
GEO,2020,2.2,Europe,MDG_0000000017
DNK,2003,0.51,Europe,MDG_0000000017
