country,year,value,region,indicator
PRK,2013,95.89834,South-East Asia,MDG_0000000026
JAM,1991,46.63706,Americas,MDG_0000000026
TCD,2001,1343.01153,Africa,MDG_0000000026
LKA,2015,30.36852,South-East Asia,MDG_0000000026
BEN,2014,611.55164,Africa,MDG_0000000026
GNQ,2015,201.02446,Africa,MDG_0000000026
ESP,1986,6.31817,Europe,MDG_0000000026
KWT,2010,9.17832,Eastern Mediterranean,MDG_0000000026
GTM,1991,236.53159,Americas,MDG_0000000026
NLD,1986,11.81901,Europe,MDG_0000000026
BOL,1987,548.9805,Americas,MDG_0000000026
SLE,2007,1125.01475,Africa,MDG_0000000026
NGA,2012,1087.43161,Africa,MDG_0000000026
NLD,2008,7.73913,Europe,MDG_0000000026
LVA,2016,21.44729,Europe,MDG_0000000026
NPL,1991,855.72992,South-East Asia,MDG_0000000026
TKM,2019,4.9158,Europe,MDG_0000000026
TCD,1988,1414.72618,Africa,MDG_0000000026
KEN,2003,525.45634,Africa,MDG_0000000026
COL,1994,105.40132,Americas,MDG_0000000026
WPR,2020,44.25253,NA,MDG_0000000026
ARG,1988,92.16049,Americas,MDG_0000000026
JPN,2012,5.30214,Western Pacific,MDG_0000000026
GRD,1993,58.29116,Americas,MDG_0000000026
GNQ,1987,1239.91746,Africa,MDG_0000000026
WPR,1998,81.80786,NA,MDG_0000000026
BWA,1989,225.60035,Africa,MDG_0000000026
CZE,1991,13.33044,Europe,MDG_0000000026
BIH,2018,5.54747,Europe,MDG_0000000026
IRL,2008,7.58736,Europe,MDG_0000000026
HRV,2007,8.66689,Europe,MDG_0000000026
ROU,2010,22.20897,Europe,MDG_0000000026
ECU,2001,116.09685,Americas,MDG_0000000026
BOL,2008,210.80016,Americas,MDG_0000000026
AGO,2000,859.92091,Africa,MDG_0000000026
SEN,2004,549.70309,Africa,MDG_0000000026
ARM,1987,55.51099,Europe,MDG_0000000026
WSM,2005,62.07638,Western Pacific,MDG_0000000026
PRY,1997,169.80371,Americas,MDG_0000000026
JAM,2010,87.71298,Americas,MDG_0000000026
FIN,1993,6.29799,Europe,MDG_0000000026
CIV,1992,584.1306,Africa,MDG_0000000026
AZE,1996,65.26368,Europe,MDG_0000000026
VEN,1988,96.89768,Americas,MDG_0000000026
HTI,2008,382.98683,Americas,MDG_0000000026
EUR,1998,29.46341,NA,MDG_0000000026
POL,2004,5.33928,Europe,MDG_0000000026
TLS,1988,1477.32607,South-East Asia,MDG_0000000026
IDN,1994,342.12355,South-East Asia,MDG_0000000026
BEL,2009,6.11914,Europe,MDG_0000000026
BLR,2010,2.71034,Europe,MDG_0000000026
JOR,2012,47.86479,Eastern Mediterranean,MDG_0000000026
BRB,2011,52.58768,Americas,MDG_0000000026
EMR,2006,277.27408,NA,MDG_0000000026
CYP,1992,34.64154,Europe,MDG_0000000026
BRN,2005,45.98728,Western Pacific,MDG_0000000026
FRA,2013,8.8149,Europe,MDG_0000000026
TLS,2008,450.86149,South-East Asia,MDG_0000000026
TZA,2002,672.19797,Africa,MDG_0000000026
BGR,2005,13.71778,Europe,MDG_0000000026
KWT,2005,9.70778,Eastern Mediterranean,MDG_0000000026
BFA,1988,808.55133,Africa,MDG_0000000026
KAZ,1991,86.2613,Europe,MDG_0000000026
SVK,1995,8.55143,Europe,MDG_0000000026
DJI,1992,629.93741,Eastern Mediterranean,MDG_0000000026
ECU,1998,126.91251,Americas,MDG_0000000026
DNK,1989,12.67883,Europe,MDG_0000000026
TON,1990,116.62583,Western Pacific,MDG_0000000026
GMB,2015,534.94412,Africa,MDG_0000000026
MKD,2020,3.03597,Europe,MDG_0000000026
KEN,2006,493.36146,Africa,MDG_0000000026
NOR,2008,4.50723,Europe,MDG_0000000026
LBR,1986,1341.3496,Africa,MDG_0000000026
ITA,1985,18.07821,Europe,MDG_0000000026
MDA,2018,14.48033,Europe,MDG_0000000026
IND,2001,371.27457,South-East Asia,MDG_0000000026
EGY,2017,19.5663,Eastern Mediterranean,MDG_0000000026
BRN,2007,47.83616,Western Pacific,MDG_0000000026
NZL,1995,13.88378,Western Pacific,MDG_0000000026
ZAF,1985,168.02415,Africa,MDG_0000000026
BLR,2012,1.95914,Europe,MDG_0000000026
BEN,2009,583.72013,Africa,MDG_0000000026
BGR,1998,21.21703,Europe,MDG_0000000026
ARM,1999,58.47666,Europe,MDG_0000000026
SUR,1987,379.79863,Americas,MDG_0000000026
NGA,2003,1083.83674,Africa,MDG_0000000026
SWE,2019,4.52916,Europe,MDG_0000000026
UZB,1985,92.93262,Europe,MDG_0000000026
PRT,1997,11.34333,Europe,MDG_0000000026
IRQ,2001,115.04528,Eastern Mediterranean,MDG_0000000026
YEM,2001,266.21447,Eastern Mediterranean,MDG_0000000026
NZL,1993,12.78994,Western Pacific,MDG_0000000026
RUS,1988,76.11925,Europe,MDG_0000000026
PHL,2002,125.64582,Western Pacific,MDG_0000000026
BOL,2009,186.80927,Americas,MDG_0000000026
PRY,1995,190.57428,Americas,MDG_0000000026
KEN,1990,582.96072,Africa,MDG_0000000026
PRY,1990,226.17345,Americas,MDG_0000000026
BLR,2007,5.75148,Europe,MDG_0000000026
TTO,2009,45.17365,Americas,MDG_0000000026
KGZ,2005,83.38379,Europe,MDG_0000000026
KAZ,1997,70.61855,Europe,MDG_0000000026
AMR,1993,108.02995,NA,MDG_0000000026
VEN,2020,259.18645,Americas,MDG_0000000026
SLE,2000,1682.44915,Africa,MDG_0000000026
URY,2014,16.85593,Americas,MDG_0000000026
PRK,1996,164.72235,South-East Asia,MDG_0000000026
KHM,2015,209.1699,Western Pacific,MDG_0000000026
BRB,2016,47.86213,Americas,MDG_0000000026
KGZ,2019,47.4402,Europe,MDG_0000000026
OMN,2001,20.03894,Eastern Mediterranean,MDG_0000000026
AUT,2015,5.67145,Europe,MDG_0000000026
MMR,2007,317.95232,South-East Asia,MDG_0000000026
GUY,1998,196.12546,Americas,MDG_0000000026
GRC,1998,4.10228,Europe,MDG_0000000026
MDG,2004,597.78488,Africa,MDG_0000000026
GRD,1997,52.07537,Americas,MDG_0000000026
PSE,2002,63.53402,Eastern Mediterranean,MDG_0000000026
NGA,1987,1286.97475,Africa,MDG_0000000026
MKD,1988,16.25311,Europe,MDG_0000000026
SGP,1987,15.0353,Western Pacific,MDG_0000000026
JPN,1993,11.23344,Western Pacific,MDG_0000000026
NIC,1994,199.50624,Americas,MDG_0000000026
BDI,2017,499.13334,Africa,MDG_0000000026
VCT,2002,61.10844,Americas,MDG_0000000026
LSO,1987,553.14079,Africa,MDG_0000000026
FRA,1997,11.69154,Europe,MDG_0000000026
USA,1989,10.43463,Americas,MDG_0000000026
AZE,1993,57.30163,Europe,MDG_0000000026
ARG,2002,70.94544,Americas,MDG_0000000026
ZWE,1993,346.98024,Africa,MDG_0000000026
TTO,2001,66.59393,Americas,MDG_0000000026
CMR,2009,533.66404,Africa,MDG_0000000026
SEAR,1987,578.6399,NA,MDG_0000000026
PRK,2016,108.75697,South-East Asia,MDG_0000000026
LTU,2016,8.14155,Europe,MDG_0000000026
LTU,2020,8.66048,Europe,MDG_0000000026
ZMB,1998,491.66289,Africa,MDG_0000000026
AZE,2020,40.76367,Europe,MDG_0000000026
LBY,2019,72.49054,Eastern Mediterranean,MDG_0000000026
MDG,2000,658.10729,Africa,MDG_0000000026
SLE,1999,1792.34665,Africa,MDG_0000000026
AGO,2005,549.83896,Africa,MDG_0000000026
GMB,1993,881.57251,Africa,MDG_0000000026
IND,1986,614.22733,South-East Asia,MDG_0000000026
LBR,2020,652.33873,Africa,MDG_0000000026
WPR,2018,40.1087,NA,MDG_0000000026
BGD,1986,902.71474,South-East Asia,MDG_0000000026
LTU,1999,18.35993,Europe,MDG_0000000026
HTI,1994,585.74995,Americas,MDG_0000000026
CHE,2002,9.18879,Europe,MDG_0000000026
LVA,2014,22.3484,Europe,MDG_0000000026
MEX,2016,49.07618,Americas,MDG_0000000026
IRQ,2012,111.07641,Eastern Mediterranean,MDG_0000000026
SLV,2000,48.8082,Americas,MDG_0000000026
GBR,2008,10.52292,Europe,MDG_0000000026
AGO,2020,221.90649,Africa,MDG_0000000026
SAU,1994,23.34173,Eastern Mediterranean,MDG_0000000026
TGO,1995,553.9349,Africa,MDG_0000000026
JAM,2015,96.97108,Americas,MDG_0000000026
BLR,2005,10.76858,Europe,MDG_0000000026
THA,1988,65.05304,South-East Asia,MDG_0000000026
CMR,2012,487.09542,Africa,MDG_0000000026
ZMB,2014,168.83693,Africa,MDG_0000000026
GLOBAL,2014,229.62259,NA,MDG_0000000026
IRL,2001,9.31862,Europe,MDG_0000000026
HND,1998,88.78563,Americas,MDG_0000000026
ARE,2019,9.43206,Eastern Mediterranean,MDG_0000000026
BRN,2001,50.40719,Western Pacific,MDG_0000000026
IND,2006,248.16779,South-East Asia,MDG_0000000026
IDN,2010,218.75792,South-East Asia,MDG_0000000026
NZL,2010,9.88776,Western Pacific,MDG_0000000026
ROU,2018,11.40143,Europe,MDG_0000000026
EST,2016,5.81033,Europe,MDG_0000000026
CRI,2015,19.693,Americas,MDG_0000000026
KOR,2015,6.20388,Western Pacific,MDG_0000000026
USA,2000,11.82542,Americas,MDG_0000000026
USA,2014,16.78385,Americas,MDG_0000000026
HTI,2015,391.06022,Americas,MDG_0000000026
VUT,2014,92.41113,Western Pacific,MDG_0000000026
ALB,1990,32.87494,Europe,MDG_0000000026
CAN,2007,10.55652,Americas,MDG_0000000026
BRB,1998,47.56843,Americas,MDG_0000000026
ATG,1985,58.98636,Americas,MDG_0000000026
FJI,1988,60.28171,Western Pacific,MDG_0000000026
SDN,1989,1032.45402,Eastern Mediterranean,MDG_0000000026
BIH,2001,14.28981,Europe,MDG_0000000026
AGO,1998,934.12018,Africa,MDG_0000000026
SDN,1994,770.84587,Eastern Mediterranean,MDG_0000000026
LBN,2000,31.91757,Eastern Mediterranean,MDG_0000000026
SLV,2006,35.75458,Americas,MDG_0000000026
PRI,2016,17.78382,Americas,MDG_0000000026
SWZ,2013,512.46286,Africa,MDG_0000000026
SLE,2012,666.85883,Africa,MDG_0000000026
